Home_Team,Away_Team,Result,Link,Season,Round,League,Number_Teams,Total_Rounds,Label,Goals_For_Home,Goals_For_Away,Position_Home,Points_Home,Total_Wins_Home,Total_Draw_Home,Total_Lose_Home,Total_Goals_For_Home_Team,Total_Goals_Against_Home_Team,Total_Streak_Home,Wins_When_Home,Draw_When_Home,Lose_When_Home,Goals_For_When_Home,Goals_Against_When_Home,Position_Away,Points_Away,Total_Wins_Away,Total_Draw_Away,Total_Lose_Away,Total_Goals_For_Away_Team,Total_Goals_Against_Away_Team,Total_Streak_Away,Wins_When_Away,Draw_When_Away,Lose_When_Away,Goals_For_When_Away,Goals_Against_When_Away,Streak_When_Home,Streak_When_Away,Elo_Home,Elo_Away
Dordrecht,NAC Breda,0-2,https://www.besoccer.com/match/fc-dordrecht/nac-breda/202012313,2020,28,eerste_divisie,20,29,2,0,2,19,0,0,0,27,0,54,0.0,0,0,27,0,54,3,81,27,0,0,54,0,9.0,27,0,0,54,0,0.0,9.0,51.0,53.0
Excelsior,Jong Utrecht,2-0,https://www.besoccer.com/match/excelsior/jong-utrecht/202012314,2020,28,eerste_divisie,20,29,0,2,0,1,81,27,0,0,54,0,9.0,27,0,0,54,0,20,0,0,0,27,0,54,0.0,0,0,27,0,54,9.0,0.0,58.0,43.0
Jong AZ,SC Telstar,0-0,https://www.besoccer.com/match/az-alkmaar-sub23/stormvogels-telstar/202012311,2020,28,eerste_divisie,20,29,1,0,0,10,27,0,27,0,0,0,3.0,0,27,0,0,0,11,27,0,27,0,0,0,3.0,0,27,0,0,0,3.0,3.0,48.0,45.0
Jong PSV,Den Bosch,2-2,https://www.besoccer.com/match/jong-psv/fc-den-bosch/202012315,2020,28,eerste_divisie,20,29,1,2,2,12,27,0,27,0,54,54,3.0,0,27,0,54,54,13,27,0,27,0,54,54,3.0,0,27,0,54,54,3.0,3.0,55.0,53.0
Go Ahead Eagles,MVV Maastricht,3-2,https://www.besoccer.com/match/go-ahead-eagles/mvv/202012306,2020,29,eerste_divisie,20,29,0,3,2,4,84,28,0,0,84,56,9.0,28,0,0,84,56,17,0,0,0,28,56,84,0.0,0,0,28,56,84,9.0,0.0,53.0,53.0
De Graafschap,Cambuur,2-0,https://www.besoccer.com/match/graafschap/sc-cambuur-leeuwarden/202012307,2020,29,eerste_divisie,20,29,0,2,0,2,84,28,0,0,56,0,9.0,28,0,0,56,0,15,0,0,0,28,0,56,0.0,0,0,28,0,56,9.0,0.0,52.0,59.0
NEC Nijmegen,FC Eindhoven,1-2,https://www.besoccer.com/match/nec/fc-eindhoven/202012308,2020,29,eerste_divisie,20,29,2,1,2,18,0,0,0,28,28,56,0.0,0,0,28,28,56,6,84,28,0,0,56,28,9.0,28,0,0,56,28,0.0,9.0,63.0,48.0
Roda JC,Almere City,1-1,https://www.besoccer.com/match/roda-jc/almere-city/202012309,2020,29,eerste_divisie,20,29,1,1,1,14,28,0,28,0,28,28,3.0,0,28,0,28,28,12,28,0,28,0,28,28,3.0,0,28,0,28,28,3.0,3.0,56.0,51.0
TOP Oss,Jong Ajax,2-1,https://www.besoccer.com/match/fc-oss/jong-ajax/202012310,2020,29,eerste_divisie,20,29,0,2,1,5,84,28,0,0,56,28,9.0,28,0,0,56,28,16,0,0,0,28,28,56,0.0,0,0,28,28,56,9.0,0.0,48.0,56.0
Helmond Sport,FC Volendam,1-1,https://www.besoccer.com/match/helmond-sport/fc-volendam/202012312,2020,29,eerste_divisie,20,29,1,1,1,13,28,0,28,0,28,28,3.0,0,28,0,28,28,7,28,0,28,0,28,28,3.0,0,28,0,28,28,3.0,3.0,47.0,52.0
Dordrecht,NAC Breda,0-2,https://www.besoccer.com/match/fc-dordrecht/nac-breda/202012313,2020,29,eerste_divisie,20,29,2,0,2,19,0,0,0,28,0,56,0.0,0,0,28,0,56,3,84,28,0,0,56,0,9.0,28,0,0,56,0,0.0,9.0,51.0,53.0
Excelsior,Jong Utrecht,2-0,https://www.besoccer.com/match/excelsior/jong-utrecht/202012314,2020,29,eerste_divisie,20,29,0,2,0,1,84,28,0,0,56,0,9.0,28,0,0,56,0,20,0,0,0,28,0,56,0.0,0,0,28,0,56,9.0,0.0,58.0,43.0
Jong AZ,SC Telstar,0-0,https://www.besoccer.com/match/az-alkmaar-sub23/stormvogels-telstar/202012311,2020,29,eerste_divisie,20,29,1,0,0,11,28,0,28,0,0,0,3.0,0,28,0,0,0,10,28,0,28,0,0,0,3.0,0,28,0,0,0,3.0,3.0,48.0,45.0
Jong PSV,Den Bosch,2-2,https://www.besoccer.com/match/jong-psv/fc-den-bosch/202012315,2020,29,eerste_divisie,20,29,1,2,2,9,28,0,28,0,56,56,3.0,0,28,0,56,56,8,28,0,28,0,56,56,3.0,0,28,0,56,56,3.0,3.0,55.0,53.0
